zone,temp,beta_coef,ci_low,ci_high
High,warm,-0.024349259322957804,-0.09687741571276973,0.04817889706685411
High,cool,-0.10575851296355546,-0.17778771548289968,-0.03372931044421125
Low,warm,0.03881198528120878,-0.021078960590683864,0.09870293115310141
Low,cool,-0.02953822183840442,-0.05884814318201721,-2.2830049479162506e-4
Mid,warm,0.019767207101226127,0.009456615842783006,0.03007779835966925
Mid,cool,-0.017021974316350823,-0.03298404089761055,-0.001059907735091098
