zone,temp,beta_coef,ci_low,ci_high
High,warm,0.2313545685201384,-1.0498924524482594,1.512601589488536
Low,warm,-2.0150236370354615,-5.568376798986661,1.5383295249157376
Mid,warm,0.2191977935869752,-1.0082668195221918,1.446662406696142
High,cool,0.6294067500064188,0.19388941463464587,1.0649240853781916
Low,cool,1.381842591874674,0.29499252139318854,2.468692662356159
Mid,cool,1.2205898201323453,0.24282874844693014,2.1983508918177606
