zone,short_term,beta_coef,ci_low,ci_high
Low,warming,0.8276544626150899,0.5523272399154074,1.1029816853147723
Mid,warming,-0.9211637351712688,-1.333448691660858,-0.5088787786816796
Mid,cooling,-0.8393983918646124,-1.1294754184382567,-0.5493213652909681
Low,cooling,0.7088995073608709,0.49736286191945656,0.9204361528022853
High,warming,-0.29435075908707026,-0.8192202900835983,0.23051877190945774
High,cooling,-0.5669018128100156,-0.9653229044562488,-0.16848072116378238
