zone_new,short_term_new,beta_coef_new,ci_low_new,ci_high_new,zone,short_term,beta_coef,ci_low,ci_high
High,cooling,-22.47014129198234,-97.00340929401827,52.06312671005358,High,cooling,0.2056418030980371,-0.12318151815797018,0.5344651243540444
Low,cooling,24.217188753047132,-4.450342492129963,52.88471999822423,Low,cooling,3.278382009465575,2.2396805488985,4.31708347003265
Mid,cooling,65.97069748548012,1.4491792682211582,130.4922157027391,Mid,cooling,0.3188712628981113,-0.00202965545666605,0.6397721812528887
High,warming,-184.43644233043764,-452.16258760733444,83.28970294645919,High,warming,3.677021033370919,1.8400763083594331,5.513965758382405
Low,warming,46.21861584804909,-13.544728377319785,105.98196007341797,Low,warming,0.27854114874005487,4.8345386912690413e-4,0.5565988436109828
Mid,warming,15.169124678848215,-80.45340857512127,110.79165793281771,Mid,warming,0.8149849634937747,0.06309044644666195,1.5668794805408874
