zone,temp,beta_coef,ci_low,ci_high
High,warm,-0.6782998756788836,-1.5224823691244838,-0.029551732126489018
Low,warm,0.10777692231300778,-0.38706433694452674,0.5105823444066568
Mid,warm,-0.1839836742986813,-0.4503206663757152,0.007273737251958887
High,cool,0.06576357307364947,-0.31617200915343524,0.5035267088553729
Low,cool,-0.8258589802877978,-1.5464977412668999,-0.0910745569881612
Mid,cool,0.4543700026558506,-0.09676325529225496,1.3055710546394017
