zone,short_term,intercept,ci_low,ci_high
Low,warming,0.8275043645773262,0.18866173551601007,1.4663469936386424
Mid,warming,-0.9247406788705362,-1.7641319223760439,-0.08534943536502848
Mid,cooling,-0.29039667095653676,-1.0983844971584404,0.5175911552453669
Low,cooling,1.682922002558533,0.6185872953437408,2.747256709773325
High,warming,-0.20073019159078337,-0.6540286609280492,0.2525682777464825
High,cooling,-0.599245208640176,-0.963253725730401,-0.23523669154995108
