depth	age	mgca	sst
1482	10.08	1.67	8.41
1496	10.15	2.15	10.95
1510	10.22	2.11	10.76
1524	10.28	1.89	9.65
1536	10.38	1.61	8.05
1538	10.42	1.73	8.76
1540	10.47	1.86	9.48
1540	10.47	1.84	9.38
1540	10.47	1.80	9.17
1542	10.51	1.83	9.30
1544	10.56	1.93	9.87
1548	10.65	1.51	7.41
1548	10.65	1.69	8.54
1548	10.65	1.73	8.75
1550	10.70	1.94	9.91
1554	10.79	1.62	8.10
1556	10.83	1.97	10.08
1560	10.92	1.75	8.90
1562	10.97	1.85	9.44
1566	11.06	2.03	10.35
1570	11.15	1.81	9.23
1572	11.19	1.75	8.85
1576	11.28	2.00	10.22
1578	11.33	1.83	9.35
1578	11.33	1.97	10.05
1578	11.33	1.85	9.43
1578	11.33	1.77	9.02
1578	11.33	1.91	9.76
1578	11.33	1.89	9.67
1582	11.42	1.95	9.94
1584	11.46	2.39	11.98
1584	11.46	1.88	9.57
1588	11.56	1.76	8.94
1590	11.60	1.62	8.14
1592	11.73	1.61	8.03
1596	11.99	1.63	8.20
