zone,short_term,beta_coef,ci_low,ci_high
Low,warming,0.24467793884067252,-0.04347982823537061,0.5328357059167157
Mid,warming,0.8161076341638425,0.051761843817377695,1.5804534245103072
Mid,cooling,0.08996683414157665,-0.2399296880441404,0.41986335632729366
Low,cooling,2.6594646267917414,1.5562946798322532,3.76263457375123
High,warming,3.5330517998654214,2.118984594178096,4.9471190055527465
High,cooling,0.3640864391819468,0.060422736072039074,0.6677501422918545
